date,nq_log_return,nq_log_range,nq_body_log,nq_upper_wick_log,nq_lower_wick_log,nq_vol_5d,nq_vol_10d,vxn_log_close,vxn_log_range,vxn_log_return,day_of_week,target
2005-01-18,0.007898978720643157,0.01440080264339283,0.01234160414336305,0.0005718289370566509,0.0014873695629731287,0.010660990366654863,0.009929463202598006,2.9311937524164198,0.05153364034507346,0.009646393485611693,1,0.017565753585140342
2005-01-19,-0.017851526392118622,0.017565753585140342,-0.01741931608753422,0.00013348523766154585,1.2952259944576383e-05,0.013413370439476205,0.009518116609635235,2.956991433341415,0.031898161154041205,0.025797680924995348,2,0.013099157897713098
2005-01-20,-0.020319543221963166,0.013099157897713098,-0.008049067446908253,0.005050090450804845,0.0,0.014605777223850699,0.011194014783700777,2.970414465569701,0.035853326344190695,0.01342303222828578,3,0.014241098142165676
2005-01-21,-0.007236161506803285,0.014241098142165676,-0.010360889690229413,0.0031084267272190047,0.0007717817247172576,0.01416850170267414,0.01126636684127037,2.963725520745357,0.06484235239641745,-0.006688944824344123,4,0.01950907519960854
2005-01-24,-0.015400887514203987,0.01950907519960854,-0.018157071099542677,0.0013520041000658622,0.0,0.01144146678082987,0.011431721037281496,2.9892110987999296,0.02522838178875375,0.025485578054572855,0,0.010990088140214738
2005-01-25,0.006670603703672562,0.010990088140214738,-0.0013945189979409633,0.008273072579870977,0.0013224965624027973,0.010947979836903975,0.011968766319190593,2.971439604435954,0.06548165412224272,-0.017771494363975737,1,0.012051584375584845
2005-01-26,0.012295252035143811,0.012051584375584845,0.004622938896930329,0.00293135362658159,0.004497291852072927,0.013990999741831737,0.013075529596235227,2.9402195676561815,0.052838490855396714,-0.031220036779772364,2,0.010219021859589894
2005-01-27,-0.0009679641864472899,0.010219021859589894,0.0015268515916657677,0.00343672061116429,0.005255449656759836,0.010975565409346164,0.012548028851480094,2.922085729279452,0.03840478476412734,-0.01813383837672955,3,0.017376161058395567
2005-01-28,-0.0053808317125234595,0.017376161058395567,-0.007587248522827217,0.0012831575247220783,0.008505755010846272,0.010737759052578897,0.012129169705182791,2.922085729279452,0.04488452385696995,0.0,4,0.006725223646077971
2005-01-31,0.013361870145436328,0.006725223646077971,0.002945820882545469,0.0023924653163014398,0.0013869374472310625,0.008202424856580019,0.01253918524621089,2.913979788240374,0.03180004642971568,-0.008105941039077802,0,0.006968339126299128
2005-02-01,0.0026484703073528237,0.006968339126299128,0.0017473444171960395,0.0027854531619357914,0.002435541547167297,0.008218839830764896,0.012150284803557938,2.8769487504515148,0.051152219208495886,-0.03703103778885941,1,0.010352391809716366
2005-02-02,0.0009446079774777516,0.010352391809716366,-0.0014349829752182686,0.0025698355021672725,0.006347573332330825,0.00696129411935858,0.011037940787532863,2.8507064574031857,0.04553998323198094,-0.026242293048329035,2,0.01070842170045605
